split,sample_id,ch0_mean,ch0_std,ch0_min,ch0_max,ch0_fp16_overflow,ch0_z5_count,ch0_abs5_count,ch1_mean,ch1_std,ch1_min,ch1_max,ch1_fp16_overflow,ch1_z5_count,ch1_abs5_count,ch2_mean,ch2_std,ch2_min,ch2_max,ch2_fp16_overflow,ch2_z5_count,ch2_abs5_count,ch3_mean,ch3_std,ch3_min,ch3_max,ch3_fp16_overflow,ch3_z5_count,ch3_abs5_count
train,train_10000_a_1,-0.1352928790791581,0.9599506541623284,-6.3203125,5.70703125,0,0,12,-0.06857667579212122,0.18237874636657955,-0.458740234375,0.78125,0,0,0,-0.17803555140368796,0.6966882654717624,-4.671875,4.74609375,0,0,0,-0.017827485982302785,0.5747727604330128,-3.404296875,5.9140625,0,0,2
train,train_10002_a_1,-0.11568523288756195,0.9444772768519338,-6.08984375,6.640625,0,0,23,-0.08239000144045955,0.1918892068706879,-0.492431640625,0.755859375,0,0,0,-0.16778315869476904,0.7039589222221931,-4.53515625,5.04296875,0,0,1,-0.0006996462823331563,0.5980844107931564,-4.421875,6.4453125,0,0,15
train,train_10003_a_1,0.04948387323212551,0.8922624209896322,-6.15234375,5.25390625,0,0,7,-0.0004612086752119164,0.1445393599874996,-0.394775390625,0.85205078125,0,0,0,0.007605969913420267,0.8450112262161229,-5.5234375,5.58984375,0,0,9,0.08939570543310967,0.7992660646431193,-4.0,6.2890625,0,0,4
train,train_10005_a_1,-0.13471695020801336,0.8563059428418454,-4.875,4.73046875,0,0,0,-0.07094374582992814,0.16540479723419596,-0.46826171875,0.70068359375,0,0,0,-0.0036491877863106007,0.655460500199377,-4.09765625,4.5390625,0,0,0,-0.024345776113267575,0.5845222446714932,-3.716796875,5.05078125,0,0,1
train,train_10008_a_1,-0.12357606521451897,0.7946470066692144,-5.5234375,5.37890625,0,0,11,-0.07380003721440315,0.1417785044926606,-0.46240234375,0.71435546875,0,0,0,0.06174068881185829,0.6638687494497688,-5.64453125,5.66796875,0,0,3,-0.03282583393208269,0.60771414109674,-3.857421875,6.59375,0,0,8
train,train_10009_a_1,-0.268203994880702,0.7422454094221499,-5.6875,4.89453125,0,0,3,-0.11814709670990446,0.15493692810353665,-0.432373046875,0.81494140625,0,0,0,0.052880282723344864,0.595469150206274,-4.484375,4.8046875,0,0,0,-0.02576363799336832,0.5247382211670606,-3.74609375,5.39453125,0,0,3
train,train_1000_a_1,-0.04454368307378091,0.8003605990452854,-6.078125,4.77734375,0,0,1,-0.07359151030198618,0.15148059197394687,-0.4150390625,0.732421875,0,0,0,-0.0139492791883337,0.6668993846792227,-5.23828125,5.9921875,0,0,6,-0.025194255071756842,0.6134484576671826,-3.787109375,5.41796875,0,0,1
train,train_10010_a_1,-0.2250966703717131,0.7795916709546494,-7.0625,4.8984375,0,0,1,-0.09898308803172161,0.15162164490240293,-0.491455078125,0.79150390625,0,0,0,0.060412075210608436,0.6236992251670508,-4.15625,6.375,0,0,7,-0.025600611519055544,0.5555140397467404,-4.09375,6.3515625,0,0,7
train,train_10011_a_1,-0.08253298251533933,0.8998795285332568,-6.03125,5.3515625,0,0,12,-0.11942331302063798,0.21311265794564593,-0.49609375,0.83154296875,0,0,0,-0.2824235513968031,0.5313721904617935,-4.63671875,5.08203125,0,0,1,-0.058490627461514025,0.43583103457379696,-4.1015625,8.78125,0,0,4
train,train_10012_a_1,-0.11892263648126067,0.794401236689505,-5.33984375,4.64453125,0,0,1,-0.06721633749231437,0.14012015400163022,-0.478759765625,0.73779296875,0,0,0,0.07327660698378977,0.6547823530863203,-4.0625,5.296875,0,0,1,-0.026303377883676957,0.6057316944492832,-4.6640625,5.36328125,0,0,2
